,descriptions,must_take,program_name,track,elective
Biological Sciences:track B,"['MAJOR', 'All of the following:', 'AND', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20189,BIOS 20200,BIOS 20191,BIOS 20242,BIOS 20242",Biological Sciences,Biological Sciences:track B,BIOS 26210
Biological Sciences:track B,"['MAJOR', 'All of the following:', 'AND', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20189,BIOS 20200,BIOS 20191,BIOS 20242,BIOS 20242",Biological Sciences,Biological Sciences:track B,PHYS 12300
Biological Sciences:track B,"['MAJOR', 'All of the following:', 'AND', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20189,BIOS 20200,BIOS 20191,BIOS 20242,BIOS 20242",Biological Sciences,Biological Sciences:track B,STAT 22000
Biological Sciences:track B,"['MAJOR', 'All of the following:', 'AND', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20189,BIOS 20200,BIOS 20191,BIOS 20242,BIOS 20242",Biological Sciences,Biological Sciences:track B,CHEM 22000-22100
Biological Sciences:track B,"['MAJOR', 'All of the following:', 'AND', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20189,BIOS 20200,BIOS 20191,BIOS 20242,BIOS 20242",Biological Sciences,Biological Sciences:track B,CHEM 23000-23100
Biological Sciences:track C,,"BIOS 25310,BIOS 25326,BIOS 25327",Biological Sciences,Biological Sciences:track C,No electives
Classical Studies: greek and roman cultures variant,"['3 courses in Greek or Latin', '9 courses in Greek or Roman art, history, philosophy, religion, science, material culture, or classical literature in translation']",CLCV 29800,Classical Studies,greek and roman cultures variant,No electives
Classical Studies: language and literature variant,"['6 courses in Greek or Latin (must include 20100-20200-20300)', '6 courses in Greek or Roman art, history, philosophy, science, religion, material culture, or classical literature in translation']",CLCV 29800,Classical Studies,language and literature variant,No electives
Classical Studies: language intensive variant,"['6 courses in Greek', '6 courses in Latin', '4 courses in Greek or Roman art, history, philosophy, religion, science, material culture, or classical literature in translation']",CLCV 29800,Classical Studies,language intensive variant,No electives
Comparative Human Development,"['One Methods Course', 'Three Distribution Courses', 'Three Specialization Courses (chosen in one Distribution area)', 'Three Elective Courses']","CHDV 20000,CHDV 20100",Comparative Human Development,Comparative Human Development,No electives
Computer Science,"['MAJOR', 'Introductory Sequence:', 'Programming Languages and Systems Sequence (three courses from the list above)', 'Theory Sequence (three courses from the list above)', 'Five electives numbered CMSC 20000 or above', 'Plus the following requirements:', 'BA (no other courses required)', 'BS (three courses in an approved program in a related field)']",check electives,Computer Science,**,CMSC 15100
Computer Science,"['MAJOR', 'Introductory Sequence:', 'Programming Languages and Systems Sequence (three courses from the list above)', 'Theory Sequence (three courses from the list above)', 'Five electives numbered CMSC 20000 or above', 'Plus the following requirements:', 'BA (no other courses required)', 'BS (three courses in an approved program in a related field)']",check electives,Computer Science,**,CMSC 16100
Computer Science,"['MAJOR', 'Introductory Sequence:', 'Programming Languages and Systems Sequence (three courses from the list above)', 'Theory Sequence (three courses from the list above)', 'Five electives numbered CMSC 20000 or above', 'Plus the following requirements:', 'BA (no other courses required)', 'BS (three courses in an approved program in a related field)']",check electives,Computer Science,**,CMSC 12100
Computer Science,"['MAJOR', 'Introductory Sequence:', 'Programming Languages and Systems Sequence (three courses from the list above)', 'Theory Sequence (three courses from the list above)', 'Five electives numbered CMSC 20000 or above', 'Plus the following requirements:', 'BA (no other courses required)', 'BS (three courses in an approved program in a related field)']",check electives,Computer Science,**,CMSC 15200
Computer Science,"['MAJOR', 'Introductory Sequence:', 'Programming Languages and Systems Sequence (three courses from the list above)', 'Theory Sequence (three courses from the list above)', 'Five electives numbered CMSC 20000 or above', 'Plus the following requirements:', 'BA (no other courses required)', 'BS (three courses in an approved program in a related field)']",check electives,Computer Science,**,CMSC 16200
Computer Science,"['MAJOR', 'Introductory Sequence:', 'Programming Languages and Systems Sequence (three courses from the list above)', 'Theory Sequence (three courses from the list above)', 'Five electives numbered CMSC 20000 or above', 'Plus the following requirements:', 'BA (no other courses required)', 'BS (three courses in an approved program in a related field)']",check electives,Computer Science,**,CMSC 15400
Computer Science,"['MAJOR', 'Introductory Sequence:', 'Programming Languages and Systems Sequence (three courses from the list above)', 'Theory Sequence (three courses from the list above)', 'Five electives numbered CMSC 20000 or above', 'Plus the following requirements:', 'BA (no other courses required)', 'BS (three courses in an approved program in a related field)']",check electives,Computer Science,**,CMSC 12100
Philosophy,"['Two of the following:', 'One from field A and two from field B', 'Two from field A and one from field B', 'Four additional courses in philosophy']",PHIL 20100,Philosophy,Philosophy,PHIL 25000
Philosophy,"['Two of the following:', 'One from field A and two from field B', 'Two from field A and one from field B', 'Four additional courses in philosophy']",PHIL 20100,Philosophy,Philosophy,PHIL 26000
Philosophy,"['Two of the following:', 'One from field A and two from field B', 'Two from field A and one from field B', 'Four additional courses in philosophy']",PHIL 20100,Philosophy,Philosophy,PHIL 27000
Philosophy: intensive track,"['Two of the following:', 'One from field A and two from field B', 'Two from field A and one from field B', 'Two additional courses in philosophy']","PHIL 20100,PHIL 29200,PHIL 29300,PHIL 29601,PHIL 29901",Philosophy,intensive track,PHIL 25000
Philosophy: intensive track,"['Two of the following:', 'One from field A and two from field B', 'Two from field A and one from field B', 'Two additional courses in philosophy']","PHIL 20100,PHIL 29200,PHIL 29300,PHIL 29601,PHIL 29901",Philosophy,intensive track,PHIL 26000
Philosophy: intensive track,"['Two of the following:', 'One from field A and two from field B', 'Two from field A and one from field B', 'Two additional courses in philosophy']","PHIL 20100,PHIL 29200,PHIL 29300,PHIL 29601,PHIL 29901",Philosophy,intensive track,PHIL 27000
Political Science: Students Meeting the Writing Requirement with a BA Thesis,"['Three of the following Political Science courses:', 'Six additional Political Science courses']","PLSC 22913,PLSC 29800,PLSC 29900",Political Science,Political Science: Students Meeting the Writing Requirement with a BA Thesis,PLSC 28701
Political Science: Students Meeting the Writing Requirement with a BA Thesis,"['Three of the following Political Science courses:', 'Six additional Political Science courses']","PLSC 22913,PLSC 29800,PLSC 29900",Political Science,Political Science: Students Meeting the Writing Requirement with a BA Thesis,PLSC 28801
Political Science: Students Meeting the Writing Requirement with a BA Thesis,"['Three of the following Political Science courses:', 'Six additional Political Science courses']","PLSC 22913,PLSC 29800,PLSC 29900",Political Science,Political Science: Students Meeting the Writing Requirement with a BA Thesis,PLSC 28901
Political Science: Students Meeting the Writing Requirement with a BA Thesis,"['Three of the following Political Science courses:', 'Six additional Political Science courses']","PLSC 22913,PLSC 29800,PLSC 29900",Political Science,Political Science: Students Meeting the Writing Requirement with a BA Thesis,PLSC 29000
Political Science: Students Meeting the Writing Requirement with a Long Paper,"['Three of the following Political Science courses:', 'Six additional Political Science courses']","PLSC 22913,PLSC 29800,PLSC 29900",Political Science,Political Science: Students Meeting the Writing Requirement with a Long Paper,PLSC 28701
Political Science: Students Meeting the Writing Requirement with a Long Paper,"['Three of the following Political Science courses:', 'Six additional Political Science courses']","PLSC 22913,PLSC 29800,PLSC 29900",Political Science,Political Science: Students Meeting the Writing Requirement with a Long Paper,PLSC 28801
Political Science: Students Meeting the Writing Requirement with a Long Paper,"['Three of the following Political Science courses:', 'Six additional Political Science courses']","PLSC 22913,PLSC 29800,PLSC 29900",Political Science,Political Science: Students Meeting the Writing Requirement with a Long Paper,PLSC 28901
Political Science: Students Meeting the Writing Requirement with a Long Paper,"['Three of the following Political Science courses:', 'Six additional Political Science courses']","PLSC 22913,PLSC 29800,PLSC 29900",Political Science,Political Science: Students Meeting the Writing Requirement with a Long Paper,PLSC 29000
Romance Languages and Literatures: french,"['Eight courses in French literature and culture (including at least one introductory course and at least three including pre-nineteenth-century material)', 'BA paper (if the student wishes to qualify for honors)']","FREN 20500,FREN 21503",Romance Languages and Literatures,french,No electives
Romance Languages and Literatures: italian,"['Nine courses in Italian literature and culture', 'BA paper (if the student wishes to qualify for honors)']",ITAL 20400,Romance Languages and Literatures,italian,No electives
Romance Languages and Literatures: spanish,"['Three of the following:', 'Five additional courses in Spanish literature and culture', 'BA paper (if the student wishes to qualify for honors)']",SPAN 21500,Romance Languages and Literatures,spanish,SPAN 20400
Romance Languages and Literatures: spanish,"['Three of the following:', 'Five additional courses in Spanish literature and culture', 'BA paper (if the student wishes to qualify for honors)']",SPAN 21500,Romance Languages and Literatures,spanish,SPAN 20402
Romance Languages and Literatures: spanish,"['Three of the following:', 'Five additional courses in Spanish literature and culture', 'BA paper (if the student wishes to qualify for honors)']",SPAN 21500,Romance Languages and Literatures,spanish,SPAN 20500
Romance Languages and Literatures: spanish,"['Three of the following:', 'Five additional courses in Spanish literature and culture', 'BA paper (if the student wishes to qualify for honors)']",SPAN 21500,Romance Languages and Literatures,spanish,SPAN 20602
Romance Languages and Literatures: spanish,"['Three of the following:', 'Five additional courses in Spanish literature and culture', 'BA paper (if the student wishes to qualify for honors)']",SPAN 21500,Romance Languages and Literatures,spanish,SPAN 21703
Romance Languages and Literatures: spanish,"['Three of the following:', 'Five additional courses in Spanish literature and culture', 'BA paper (if the student wishes to qualify for honors)']",SPAN 21500,Romance Languages and Literatures,spanish,SPAN 21803
Romance Languages and Literatures: spanish,"['Three of the following:', 'Five additional courses in Spanish literature and culture', 'BA paper (if the student wishes to qualify for honors)']",SPAN 21500,Romance Languages and Literatures,spanish,SPAN 21903
Romance Languages and Literatures: spanish,"['Three of the following:', 'Five additional courses in Spanish literature and culture', 'BA paper (if the student wishes to qualify for honors)']",SPAN 21500,Romance Languages and Literatures,spanish,SPAN 22003
Visual Arts,"['MAJOR', 'Five studio art courses numbered 21000 and above', 'Three electives relevant to the major']","ARTV 15000,ARTV 29600,ARTV 29850,ARTV 29900",Visual Arts,majors,ARTV 10100
Visual Arts,"['MAJOR', 'Five studio art courses numbered 21000 and above', 'Three electives relevant to the major']","ARTV 15000,ARTV 29600,ARTV 29850,ARTV 29900",Visual Arts,majors,ARTV 10200
Visual Arts,"['MAJOR', 'Five studio art courses numbered 21000 and above', 'Three electives relevant to the major']","ARTV 15000,ARTV 29600,ARTV 29850,ARTV 29900",Visual Arts,majors,ARTV 10300
Visual Arts studio track majors,"['MAJOR', 'Five studio art courses numbered 21000 and above', 'Three electives relevant to the major']","ARTV 15000,ARTV 29600,ARTV 29850,ARTV 29900",Visual Arts,studio track majors,ARTV 10100
Visual Arts studio track majors,"['MAJOR', 'Five studio art courses numbered 21000 and above', 'Three electives relevant to the major']","ARTV 15000,ARTV 29600,ARTV 29850,ARTV 29900",Visual Arts,studio track majors,ARTV 10200
Visual Arts studio track majors,"['MAJOR', 'Five studio art courses numbered 21000 and above', 'Three electives relevant to the major']","ARTV 15000,ARTV 29600,ARTV 29850,ARTV 29900",Visual Arts,studio track majors,ARTV 10300
anthropology,"['One Methods course', 'One Discovering Anthropology course', 'Seven electives in Anthropology', 'Two electives in Anthropology or approved related disciplines']",ANTH 21107,Anthropology,anthropology,ANTH 21420
anthropology,"['One Methods course', 'One Discovering Anthropology course', 'Seven electives in Anthropology', 'Two electives in Anthropology or approved related disciplines']",ANTH 21107,Anthropology,anthropology,ANTH 28400
anthropology,"['One Methods course', 'One Discovering Anthropology course', 'Seven electives in Anthropology', 'Two electives in Anthropology or approved related disciplines']",ANTH 21107,Anthropology,anthropology,ANTH 29500
art history MAJOR: TRACK I,"['14000s Survey Course', '15000s Survey Course', '16000s Survey Course', ""Survey Course of student's choice"", '3 upper-level ARTH courses in special field', '3 upper-level ARTH courses (The six upper-level courses must include, altogether, one course each in Western art before 1400, Western art after 1400, and non-Western art.)', 'BA paper']","ARTH 29600,ARTH 29800",Art History,art history MAJOR: TRACK I,No electives
art history MAJOR: TRACK II,"['14000s Survey Course', '15000s Survey Course', '16000s Survey Course', ""Survey Course of student's choice"", '3 upper-level ARTH courses in special field', '2 courses outside ARTH related to special field', '1 upper-level ARTH elective (not special field)', 'BA paper']","ARTH 29600,ARTH 29800",Art History,art history MAJOR: TRACK II,No electives
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,CHEM 11300
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,CHEM 12300
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,MATH 15300
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,MATH 16300
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,MATH 19620
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,MATH 13300
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,CHEM 22000-22100-22200
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,CHEM 23000-23100-23200
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,CHEM 22700
ba in chemistry,['MAJOR'],"MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700",Chemistry,ba in chemistry,CHEM 26800
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,PHYS 12100-12200-12300
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,PHYS 13100-13200-13300
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,PHYS 14100-14200-14300
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,MATH 20000
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,MATH 20250
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,PHYS 22000
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,MATH 13300
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,MATH 15300
ba in geophysical sciences,"['MAJOR', 'One Computational Sciences course (List 2)', 'Six electives as follows:', 'Four courses designated GEOS from List 1: Physical and Biological Sciences', 'Two additional courses from List 1: Physical and Biological Sciences and/or from List 2: Computational Sciences']","GEOS 13100,CHEM 11300,CHEM 12300",Geophysical Sciences,ba in geophysical sciences,MATH 16300
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 13300
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 15300
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 16300
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 20000
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 20500
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 20900
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 20100
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 27300
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 28200
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 24300
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,MATH 20250
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 24400
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 24410
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 24500
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 25100
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 25150
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 22400
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,STAT 34300
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,CMSC 12100-12200
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,CMSC 15100-15200
ba in statistics,"['MAJOR', 'Required course:', 'Three approved elective courses in Statistics', 'A coherent two-quarter sequence at the 20000 level in a field to which statistics can be applied']",check electives,Statistics,ba in statistics,CMSC 16100-16200
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,CHEM 11300
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,CHEM 12300
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,MATH 15300
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,MATH 16300
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,MATH 19620
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,MATH 13300
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,CHEM 22000-22100-22200
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,CHEM 23000-23100-23200
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,CHEM 20200
biological chemistry,"['MAJOR', 'One appropriate 20000-level course in Biology (under the category Advanced-Level Courses)', 'One approved 30000-level biochemistry or chemistry course']","MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317",Biological Chemistry,biological chemistry,CHEM 23300
