,program,course_title,course_unit,equivalent_courses,instructors,notes
CRWR 12104,Creative Writing,Introduction to Genres: Four Western Myths,100,,,This course meets the general education requirement in the arts.
CRWR 12105,Creative Writing,Introduction to Genres,100,,,This course meets the general education requirement in the arts.
CRWR 12107,Creative Writing,Reading as a Writer: Crime and Story,100,,,This course meets the general education requirement in the arts.
CRWR 12109,Creative Writing,Introduction to Genres: Wizards,100,,Peter O'Leary,This course meets the general education requirement in the arts.
CRWR 12115,Creative Writing,Intro to Genres: The Surveilled City and the Googled Chicago,100,,Garin Cycholl,This course meets the general education requirement in the arts.
CRWR 12122,Creative Writing,Introduction to Genres: Parody,100,,Srikanth Reddy,"Course meets the General Education requirement in the Dramatical, Musical and Visual Arts."
CRWR 12125,Creative Writing,Reading as a Writer: From Page to Film,100,,Vu Tran,"Course meets the General Education requirement in the Dramatical, Musical and Visual Arts."
CRWR 13000,Creative Writing,Intermediate Poetry Workshop,100,CRWR 33000,,Attendance on the first day is mandatory.
CRWR 13006,Creative Writing,Investigations through Rhyme,100,CRWR 33006,,Attendance on the first day is mandatory.
CRWR 13015,Creative Writing,Special Topics in Poetry: Poetic Appropriation & Collage,100,CRWR 33015,,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 13016,Creative Writing,Special Topics in Poetry: Units of Composition,100,CRWR 33016,Nathan Hoks,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 13017,Creative Writing,"Special Topics in Poetry: Image, Perception, Sense",100,CRWR 33017,Nathan Hoks,
CRWR 14000,Creative Writing,Intermediate Creative Nonfiction,100,CRWR 34000,,Attendance on the first day is mandatory.
CRWR 14011,Creative Writing,Special Topics in Nonfiction: Reading and Writing Memoir,100,CRWR 34011,Dan Raeburn,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 14012,Creative Writing,Special Topics in Nonfiction: Knowledge Journalism,100,CRWR 34012,Jeff McMahon,"Instructor consent required. To apply, send a statement describing your field of expertise and your intent for practicing journalism in place of a writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory."
CRWR 14015,Creative Writing,Special Topics in Nonfiction: W.G. Sebald & Teju Cole,100,CRWR 34015,David MacLean,
CRWR 21501,Creative Writing,Advanced Translation Workshop: Found in Translation,100,,Jennifer Scappettone,
CRWR 22100,Creative Writing,Advanced Fiction Workshop,100,CRWR 42100,Will Boast,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 22116,Creative Writing,Advanced Fiction Workshop: Not Your Native Language,100,CRWR 42116,Rachel DeWoskin,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 22117,Creative Writing,Advanced Fiction Workshop: Beginning a Novel,100,CRWR 42117,Vu Tran,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 22118,Creative Writing,Advanced Fiction Workshop: Constructing a Full-Length Novel,100,CRWR 42118,Rachel DeWoskin,
CRWR 23100,Creative Writing,Advanced Poetry Workshop,100,CRWR 43100,,Attendance on the first day is mandatory.
CRWR 23112,Creative Writing,Advanced Poetry Workshop: Letters to Young Poets,100,CRWR 43112,Srikanth Reddy,
CRWR 24001,Creative Writing,Advanced Nonfiction: Aiming for Publication,100,CRWR 44001,Dan Raeburn,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 24002,Creative Writing,Advanced Nonfiction Workshop: Writing About the Arts,100,"CRWR 44002,ARTH 34002,ARTH 24002",R. Cohen,
CRWR 24003,Creative Writing,Advanced Nonfiction Workshop: The Essay,100,CRWR 44003,Rachel Cohen,Note(s):
CRWR 24100,Creative Writing,Advanced Creative Nonfiction Workshop,100,CRWR 44100,,Attendance on the first day is mandatory.
CRWR 25100,Creative Writing,Clean Up Your Mess: A Playwriting Workshop Focused on Structure,100,TAPS 28462,,Attendance on the first day is mandatory.
CRWR 26100,Creative Writing,Writing the Graphic Novel,100,,,Attendance on the first day is mandatory.
CRWR 26405,Creative Writing,Writing Speeches: Reagan and Obama,100,"LLSO 28203,ENGL 11404",L. McEnerney,
CRWR 27002,Creative Writing,Adaptation: Text and Image,100,,,
CRWR 27006,Creative Writing,Special Topics: Verse Forms Theater & Spoken Word Traditions,100,CRWR 47006,Mickle Maher,
CRWR 27101,Creative Writing,Beginning Screenwriting,100,CRWR 47101,J. Petrakis,Attendance on the first day is mandatory.
CRWR 27102,Creative Writing,Beginning Screenwriting,100,TAPS 15500,J. Petrakis,
CRWR 27105,Creative Writing,Theater and Performance Studies Colloquium,100,,,Required of fourth-year students who are majoring or minoring in TAPS. Creative Writing or MAPH students who are preparing theses for performance may participate with consent from their home department and the Director of Undergraduate Studies. Students participate in both Autumn and Winter Quarters but register once.
CRWR 27200,Creative Writing,Portfolio Workshop in Fiction,100,CRWR 47200,Vu Tran; Rachel DeWoskin,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 27300,Creative Writing,Portfolio Workshop in Poetry,100,CRWR 47300,,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 28100,Creative Writing,Journalism: News Writing in the Digital Age,100,CRWR 48100,,Attendance on the first day is mandatory.
CRWR 28200,Creative Writing,Journalism: Arts Reviewing,100,CRWR 48200,,Attendance on the first day is mandatory.
CRWR 29200,Creative Writing,Thesis/Major Projects: Fiction,100,CRWR 49200,"Vu Tran, Rachel DeWoskin, Will Boast",Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 29300,Creative Writing,Thesis/Major Projects: Poetry,100,CRWR 49300,Srikanth Reddy,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 29400,Creative Writing,Thesis/Major Projects: Creative Nonfiction,100,CRWR 49400,Dan Raeburn,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
BIOS 00199,Biological Sciences,Undergraduate Research,100,,BSCD Master,Students are required to submit the College Reading and Research Course Form. This course is graded P/F. This course does not meet requirements for the biological sciences major.
BIOS 00206,Biological Sciences,Readings: Biology,100,,,Students are required to submit the College Reading and Research Course Form. This course is graded P/F. This course does not meet requirements for the biological sciences major.
BIOS 00292,Biological Sciences,Interdisciplinary Research Seminar III,100,,"S. Kron, Staff",
BIOS 00296,Biological Sciences,Undergraduate Honors Research,100,,S. Kron,
BIOS 00299,Biological Sciences,Advanced Research: Biological Sciences,100,,BSCD Master,Students are required to submit the College Reading and Research Course Form. This course is graded P/F.
BIOS 02490,Biological Sciences,Biology and Sociology of AIDS,100,BPRO 24900,"H. Pollack, J. Schneider",This course does not meet requirements for the biological sciences major.
BIOS 10130,Biological Sciences,Core Biology,100,,,
BIOS 10450,Biological Sciences,Pharmacological Perspectives in Cell and Molecular Biology,100,,R. Zaragoza,
BIOS 10451,Biological Sciences,Pharmacological Perspectives II,100,,R. Zaragoza,
BIOS 10500,Biological Sciences,Metabolism and Exercise,100,,M. Osadjan,
BIOS 10501,Biological Sciences,Metabolism and Nutrition,100,,P. Strieleman,Credit may not be earned for both BIOS 10501 and BIOS 12114.
BIOS 10602,Biological Sciences,Multiscale Modeling of Biological Systems I,100,,D. Kondrashov,
BIOS 10603,Biological Sciences,Multiscale Modeling of Biological Systems II,100,,E. Haddadian,
BIOS 11119,Biological Sciences,The Biology of Gender,100,GNSE 12000,M. Osadjan,
BIOS 11125,Biological Sciences,Life through a Genomic Lens,100,ENST 12402,"A. Turkewitz, M. Nobrega",
BIOS 11128,Biological Sciences,Introduction to Human Genetics,100,,T. Christianson,
BIOS 11132,Biological Sciences,"Genes, Evolution and Society",100,,Bruce Lahn,
BIOS 11140,Biological Sciences,Biotechnology for the 21st Century,100,,N. Bhasin,
BIOS 12114,Biological Sciences,Nutritional Science,100,,P. Strieleman,Credit may not be earned for both BIOS 12114 and BIOS 10501
BIOS 12115,Biological Sciences,Responses of Cardiopulmonary System to Stress,100,,"M. Gupta, K. Birukov",
BIOS 12116,Biological Sciences,The Human Body in Health and Disease,100,,M. McNulty,
BIOS 12117,Biological Sciences,The 3.5 Billion Year History of the Human Body,100,,N. Shubin,
BIOS 12118,Biological Sciences,The Descent of Man: Human Health across the Ages,100,,K. Knutson,
BIOS 12119,Biological Sciences,Essentials of Exercise Physiology and Nutrition,100,,P. Strieleman,
BIOS 13107,Biological Sciences,Environmental Ecology,100,"ENST 12404,NTSC 10400",T. Price,
BIOS 13111,Biological Sciences,Natural History of North American Deserts,100,,E. Larsen,
BIOS 13112,Biological Sciences,Natural History of North American Deserts: Field School,100,,E. Larsen,
BIOS 13123,Biological Sciences,Biological Evolution,100,"GEOS 27300,GEOS 13900",D. Jablonski,
BIOS 13125,Biological Sciences,Ecology and the Environment,100,,S. Pruett-Jones,
BIOS 13126,Biological Sciences,Tropical Ecology: Biodiversity and Human Impacts,100,,E. Larsen,
BIOS 13128,Biological Sciences,Plant-Animal Interactions,100,,A. Hunter,
BIOS 13132,Biological Sciences,Ecology in the Anthropocene,100,ENST 13132,Trevor Price,
BIOS 13140,Biological Sciences,The Public and Private Lives of Insects,100,,E. Larsen,
BIOS 13253,Biological Sciences,Apes and Human Evolution,100,"HIPS 21428,ANTH 38600,EVOL 38600,ANTH 21428",R. Tuttle,
BIOS 14112,Biological Sciences,Workings of the Human Brain:  From Brain to Behavior,100,,M. McNulty,
BIOS 14114,Biological Sciences,Drugs Galore:  What They Are and What They Do to You,100,,R. Zaragoza,
BIOS 14115,Biological Sciences,From Social Neuroscience to Medical Neuroscience and Back,100,,Stephanie Cacioppo,
BIOS 15106,Biological Sciences,Plagues: Past and Present,100,,S. Boyle-Vavra,
BIOS 15115,Biological Sciences,Cancer Biology: How Good Cells Go Bad,100,,M. Villereal,
BIOS 15123,Biological Sciences,The Microbiome in Human and Environmental  Health,100,,"J. Gilbert, H. Shuman",
BIOS 17101,Biological Sciences,Experimental Biology By the Sea,100,,K. Matlin,
BIOS 20170,Biological Sciences,Microbial and Human Cell Biology,100,,"C. Andrews, R. Zaragoza, E. Kovar",
BIOS 20171,Biological Sciences,Human Genetics and Developmental Biology,100,,"T. Christianson, C. Schonbaum, R. Zaragoza",
BIOS 20172,Biological Sciences,Mathematical Modeling for Pre-Med Students,100,,E. Haddadian,
BIOS 20173,Biological Sciences,Perspectives of Human Physiology,100,,"C. Andrews, E. Kovar",
BIOS 20175,Biological Sciences,Biochemistry and Metabolism,100,,P. Strieleman,
BIOS 20186,Biological Sciences,Fundamentals of Cell and Molecular Biology,100,,"Variant A: G. Lamppa, A. Imamoto, T Christianson. Variant B: D. Kovar, B. Glick, C. Schonbaum.",
BIOS 20187,Biological Sciences,Fundamentals of Genetics,100,,"Variant A: J. Malamy, D. Del Gaudio, T. Christianson. Winter. L. Variant B: Staff, C. Schonbaum, E. Kovar. Winter. L.",
BIOS 20188,Biological Sciences,Fundamentals of Physiology,100,,"D. McGehee, M. Osadjan",Variant A. Credit can NOT be earned for both BIOS 20188 and BIOS 20191.
BIOS 20189,Biological Sciences,Fundamentals of Developmental Biology,100,,"R. Ho, S. Horne-Badovinac, C. Schonbaum, E. Kovar",Variant B.
BIOS 20190,Biological Sciences,Principles of Developmental Biology,100,,"A. Imamoto, W. Du",Variant A.
BIOS 20191,Biological Sciences,Integrative Physiology,100,,M. Osadjan,Credit can NOT be earned for both BIOS 20188 and BIOS 20191.
BIOS 20196,Biological Sciences,Ecology and Conservation,100,ENSC 24400,"C. Pfister, E. Larsen",BIOS 20196 is identical to the previously offered BIOS 23251.  Students who have taken BIOS 23251 should not enroll in BIOS 20196.
BIOS 20198,Biological Sciences,Biodiversity,100,,"M. LaBarbera, C. Andrews",BIOS 20198 is identical to the previously offered BIOS 20184.  Students who have taken BIOS 20184 should not enroll in BIOS 20198.
BIOS 20200,Biological Sciences,Introduction to Biochemistry,100,,"M. Makinen, P. Strieleman, L.",
BIOS 20234,Biological Sciences,Molecular Biology of the Cell,100,,"M. Glotzer, A. Ruthenburg, N. Bhasin. L.","To continue in the sequence, students must receive a minimum grade of B- in BIOS 20234"
BIOS 20235,Biological Sciences,Biological Systems,100,,"I. Rebay, M, Pascual, N. Bhasin. L.",
BIOS 20236,Biological Sciences,Biological Dynamics,100,,"E. Munro, M. Rust, E. Kovar.",
BIOS 20242,Biological Sciences,Principles of Physiology,100,,"M. Feder, E. Kovar.",
BIOS 21206,Biological Sciences,Human Evolution and Disease,100,,"V. Lynch, A. Di Rienzo",
BIOS 21216,Biological Sciences,Intro Statistical Genetics,100,HGEN 47100,X. He,
BIOS 21229,Biological Sciences,Genome Informatics: How Cells Reorganize Genomes,100,,J. Shapiro,
BIOS 21236,Biological Sciences,Genetics of Model Organisms,100,,"D. Bishop, J. Malamy, E. Ferguson, I. Moskowitz",
BIOS 21237,Biological Sciences,Developmental Mechanisms,100,"DVBI 36400,MGCB 36400","E. Ferguson, R. Fehon",
BIOS 21238,Biological Sciences,Cell Biology II,100,"DVBI 31700,MGCB 31700","M. Glotzer, D. Kovar",
BIOS 21249,Biological Sciences,"Organization, Expression, and Transmission of Genome Information",100,,J. Shapiro,
BIOS 21317,Biological Sciences,Topics in Biological Chemistry,100,,"P. Rice, R. Keenan",
BIOS 21328,Biological Sciences,Biophysics of Biomolecules,100,"BCMB 32200,BPHS 31000",T. Sosnick,
BIOS 21349,Biological Sciences,Protein Structure and Functions in Medicine,100,"NURB 31349,CABI 31900",W-J. Tang,
BIOS 21356,Biological Sciences,Vertebrate Development,100,"DVBI 35600,MGCB 35600","V. Prince, C. Ragsdale.",
BIOS 21358,Biological Sciences,"Simulation, Modeling, and Computation in Biophysics",100,"BCMB 31358,CPNS 31358",B. Roux,
BIOS 21407,Biological Sciences,Image Processing in Biology,100,MGCB 34300,R. Josephs,
BIOS 21415,Biological Sciences,Stem Cells in Development and Diseases,100,,"A. Imamoto, X. Wu",
BIOS 21416,Biological Sciences,Stem Cells and Regeneration,100,DVBI 36200,"E. Ferguson, V. Prince, J. Cunningham, J. De Jong, X. Wu",
BIOS 21417,Biological Sciences,Systems Biology:  Molecular Regulatory Logic of Networks,100,,"B. Aprison, E. Kovar.",
BIOS 21507,Biological Sciences,Selected Topics in Molecular Engineering:  The Engineering and Biology of Tissue Repair,100,MENG 24300,Jeffrey Hubbell,
BIOS 22226,Biological Sciences,Human Developmental Biology,100,,J. Marks,
BIOS 22233,Biological Sciences,Comparative Vertebrate Anatomy,100,,M. Westneat. L.,
BIOS 22236,Biological Sciences,Reproductive Biology of Primates,100,,R. Martin,
BIOS 22247,Biological Sciences,Principles of Pharmacology,100,,P Singleton,
BIOS 22249,Biological Sciences,Principles of Toxicology,100,,Y-Y He,
BIOS 22250,Biological Sciences,Chordates:  Evolution and Comparative Anatomy,100,"EVOL 30250,ORGB 30250",M. Coates,
BIOS 22260,Biological Sciences,Vertebrate Structure and Function,100,,P. Sereno. L.,
BIOS 22306,Biological Sciences,Evolution and Development,100,"DVBI 33850,EVOL 33850,ORGB 33850",U. Schmidt-Ott,
BIOS 23100,Biological Sciences,Dinosaur Science,100,,P. Sereno. L.,
BIOS 23232,Biological Sciences,Ecology and Evolution in the Southwest,100,,E. Larsen,
BIOS 23233,Biological Sciences,Ecology and Evolution in the Southwest: Field School,100,,E. Larsen,
BIOS 23247,Biological Sciences,Bioarchaeology and the Human Skeleton,100,"ANTH 38800,ANTH 28400",M. C. Lozada,This course qualifies as a Methodology selection for Anthropology majors.
BIOS 23248,Biological Sciences,Primate Behavior and Ecology,100,,D. Maestripieri,
BIOS 23249,Biological Sciences,Animal Behavior,100,"CHDV 23249,PSYC 23249","S. Pruett-Jones (even years), J. Mateo (odd years)","CHDV Distribution, A"
BIOS 23252,Biological Sciences,Field Ecology,100,,S. Pruett-Jones,
BIOS 23254,Biological Sciences,Mammalian Ecology,100,,E. Larsen,
BIOS 23258,Biological Sciences,Molecular Evolution I: Fundamentals and Principles,100,"ECEV 44001,EVOL 44001",M. Kreitman,
BIOS 23261,Biological Sciences,Invertebrate Paleobiology and Evolution,100,"EVOL 32400,GEOS 36300,GEOS 26300",M. Webster,
BIOS 23262,Biological Sciences,Mammalian Evolutionary Biology,100,ORGB 31201,"Z. Luo, K. Angielczyk",
BIOS 23266,Biological Sciences,Evolutionary Adaptation,100,,C. Andrews,
BIOS 23289,Biological Sciences,Marine Ecology,100,ENST 23289,T. Wootton,
BIOS 23299,Biological Sciences,Plant Development and Molecular Genetics,100,"DVBI 36100,ECEV 32900,MGCB 36100",J. Greenberg,
BIOS 23365,Biological Sciences,Evolutionary and Genomic Medicine I,100,ECEV 33365,"S. Cobey, C-I. Wu",
BIOS 23404,Biological Sciences,Reconstructing the Tree of Life: An Introduction to Phylogenetics,100,EVOL 35401,"C. Moreau, R. Ree.",This course is offered in alternate (odd) years.
BIOS 23406,Biological Sciences,Biogeography,100,"ENST 25500,EVOL 45500,GEOG 25500,GEOG 35500","B. Patterson (odd years, lab). L., Heaney (even years, discussion)",
BIOS 23409,Biological Sciences,The Ecology and Evolution of Infectious Diseases,100,,G. Dwyer,
BIOS 23410,Biological Sciences,"Complex Interactions: Coevolution, Parasites, Mutualists, and Cheaters",100,,T. Lumbsch,
BIOS 24203,Biological Sciences,Fundamentals of Neuroscience,100,,"C. Ragsdale, W. Wei",
BIOS 24204,Biological Sciences,Cellular Neurobiology,100,,"A. Fox, Staff",
BIOS 24205,Biological Sciences,Systems Neuroscience,100,"PSYC 24000,PSYC 31200","M. Hale, D. Freedman",
BIOS 24206,Biological Sciences,Peering Inside the Black Box: Neocortex,100,CPNS 34206,J. MacLean,
BIOS 24208,Biological Sciences,Survey of Systems Neuroscience,100,,L. Osborne.,
BIOS 24209,Biological Sciences,Photons to Consciousness: Cellular and Integrative Brain Functions,100,,E. Schwartz,
BIOS 24217,Biological Sciences,Conquest of Pain,100,,J. Moss,
BIOS 24218,Biological Sciences,Molecular Neurobiology,100,,S. Sisodia,
BIOS 24231,Biological Sciences,Methods in Computational Neuroscience,100,CPNS 34231,S. Bensmaia,
BIOS 24232,Biological Sciences,Computational Approaches to Cognitive Neuroscience,100,"CPNS 33200, ORGB 34650, PSYC 34410,CPNS",N. Hatsopoulos,
BIOS 24248,Biological Sciences,Biological Clocks and Behavior,100,PSYC 21750,B. Prendergast,
BIOS 24249,Biological Sciences,Neurobiology of Seeing,100,PSYC 24249,"W. Wei, M. Sherman, J. Maunsell, S. Shevell",This course is designed as an advanced neuroscience course for undergraduate and graduate students. The students are expected to have a general background in neurophysiology and neuroanatomy.
BIOS 24408,Biological Sciences,Modeling and Signal Analysis for Neuroscientists,100,CPNS 32111,W. van Drongelen,
BIOS 25108,Biological Sciences,Cancer Biology,100,,"M. Rosner, W. Du",
BIOS 25109,Biological Sciences,Topics in Reproduction and Cancer,100,,"G. Greene, D. Vander Griend",
BIOS 25126,Biological Sciences,Animal Models of Human Disease,100,,"G. Langan, M. Niekrasz",
BIOS 25206,Biological Sciences,Fundamentals of Bacterial Physiology,100,MICR 30600,D. Missiakas,
BIOS 25216,Biological Sciences,Molecular Basis of Bacterial Diseases,100,MICR 31600,H. Shuman,
BIOS 25226,Biological Sciences,Endocrinology I: Cell Signaling,100,"CPHY 33600,NPHP 33600","M. Brady, R. Cohen",
BIOS 25227,Biological Sciences,Endocrinology II: Systems and Physiology,100,,"M. Brady, R. Cohen",
BIOS 25228,Biological Sciences,Endocrinology III: Human Disease,100,,Y. C. Li,
BIOS 25256,Biological Sciences,Immunobiology,100,,A. Bendelac,
BIOS 25258,Biological Sciences,Immunopathology,100,"IMMU 30010,PATH 30010",B. Jabri,
BIOS 25260,Biological Sciences,Host Pathogen Interactions,100,,A. Chervonsky,
BIOS 25266,Biological Sciences,Molecular Immunology,100,IMMU 30266,E. Adams,
BIOS 25267,Biological Sciences,Mucosal Immunology,100,IMMU 37000,C. Nagler,
BIOS 25287,Biological Sciences,Introduction to Virology,100,MICR 34600,B. Manicassamy,
BIOS 25308,Biological Sciences,Heterogeneity in Human Cancer:  Etiology and Treatment,100,CABI 30500,K. MacLeod,
BIOS 25309,Biological Sciences,Cancer Metastasis,100,,C. Rinker-Schaeffer,
BIOS 25310,Biological Sciences,Pharmacogenomics:  Discovery and Implementation,100,"CABI 47510,CCTS 40006","R. S. Huang, B. Stranger",
BIOS 25326,Biological Sciences,Tumor Microenvironment and Metastasis,100,,"H. Kenny, E. Lengyel",
BIOS 25327,Biological Sciences,Health Disparities in Breast Cancer,100,"CCTS 20400,CCTS 40400",E. Dolan and S. Conzen,
BIOS 25407,Biological Sciences,Organ Transplantation,100,,A. Chong,
BIOS 25419,Biological Sciences,"Infectious Disease Epidemiology, Networks, and Modeling",100,,"M. David, J. Schneider",offered every other year in 'odd' years
BIOS 26120,Biological Sciences,An Introduction to Bioinformatics and Proteomics,100,,E. Haddadian,
BIOS 26210,Biological Sciences,Mathematical Methods for Biological Sciences I,100,"CPNS 31000,PSYC 36210",D. Kondrashov,
BIOS 26211,Biological Sciences,Mathematical Methods for Biological Sciences II,100,"CPNS 31100,PSYC 36211",D. Kondrashov,
BIOS 27710,Biological Sciences,Ecology – Marine Biological Laboratory,100,ENSC 24100,Marine Biological Laboratory Staff,
BIOS 27711,Biological Sciences,Biogeochemical Analysis in Terrestrial and Aquatic Ecosystems – Marine Biological Laboratory,100,ENSC 23820,Marine Biological Laboratory Staff.,
BIOS 27712,Biological Sciences,Independent Undergraduate Research in Environmental Sciences – Marine Biological Laboratory,100,ENSC 29800,Marine Biological Laboratory Staff,
BIOS 27713,Biological Sciences,Quantitative Environmental Analyses – Marine Biological Laboratory,100,ENSC 28100,Marine Biological Laboratory Staff,
BIOS 27714,Biological Sciences,Methods in Microbial Ecology – Marine Biological Laboratory,100,ENSC 24200,Marine Biological Laboratory Staff,
BIOS 27715,Biological Sciences,Roles of Animals in Ecosystems – Marine Biological Laboratory,100,ENSC 24300,Marine Biological Laboratory Staff,
BIOS 27810,Biological Sciences,Global Health Sciences I:Epidemiology&Population Health,100,,"D. Lauderdale, B. Lahey",
BIOS 27811,Biological Sciences,Global Health Sciences II: Microbiology,100,,"D. Missiakas, O. Schneewind",
BIOS 28407,Biological Sciences,Genomics and Systems Biology,100,"HGEN 47300,IMMU 47300",Y. Gilad,
BIOS 29100,Biological Sciences,Biology of Toxoplasma,100,,R. Mcleod,
BIOS 29265,Biological Sciences,Evolution and Economics of Human Behavior,100,"CHDV 37950,PSYC 27950,PSYC 37950,ECON 14810,CHDV 27950",D. Maestripieri,"CHDV Distribution, A*; 1*"
BIOS 29270,Biological Sciences,A History of Cell and Molecular Biology,100,HIPS 25902,K. Matlin,
BIOS 29271,Biological Sciences,The Psychology and Neurobiology of Stress,100,PSYC 25750,G. Norman,
BIOS 29279,Biological Sciences,Topics in Global Health,100,CCTS 43100,C. S. Olopade,
BIOS 29280,Biological Sciences,Developmental Psychopathology,100,"PSYC 22750,CHDV 29280",K. Keenan,"CHDV Distribution: B*, D*"
BIOS 29294,Biological Sciences,Introduction to Global Health,100,"PBHS 30030,CCTS 43000,PBPL 29294","C. Babcock, C. S. Olopade",
BIOS 29300,Biological Sciences,Biological Psychology,100,"CHDV 20300,PSYC 20300","L. Kay, B. Prendergast",This course does not meet requirements for the biological sciences major. CHDV Distribution: A*
BIOS 29318,Biological Sciences,Principles of Epidemiology,100,"ENST 27400,PPHA 36400,STAT 35000,PBHS 30900",B. Lahey,
BIOS 29323,Biological Sciences,Health Care and the Limits of State Action,100,"BPRO 28600,CMLT 28900,HMRT 28602","E. Lyon, H. Saussy",
BIOS 29325,Biological Sciences,Social Epidemiology,100,PBHS 31400,D. Lauderdale,Not offered every year.
BIOS 29326,Biological Sciences,Introduction to Medical Physics and Medical Imaging,100,,"S. Armato, P. La Riviere, C. Pelizzari",
BIOS 29327,Biological Sciences,Topics in Clinical Research,100,CCTS 21003,Valerie Press,
BIOS 29812,Biological Sciences,Global Health Sciences III: Topics in Global Health,100,,"C. Olopade, O. Olopade",This course does not meet requirements for an upper-level elective in the biological sciences major.
HUMA 02980,Humanities,Practicum,025,SOSC 02980,D. Spatz,Must be taken for P/F grading; students who fail to complete the course requirements will receive an F on their transcript (no W will be granted). Students receive 025 units of credit at completion of course. Course meets once in Spring Quarter and once in Autumn Quarter. Course fee $150; students in need of financial aid should contact Jay Ellison at 702.8609.
HUMA 11000,Humanities,Readings in World Literature I,100,,,These courses must be taken in sequence. Students registered in this sequence must attend the first and second class sessions or their registration will be dropped.
HUMA 11100,Humanities,Readings in World Literature II,100,,,These courses must be taken in sequence.
HUMA 11200,Humanities,Readings in World Literature III,100,,Staff,These courses must be taken in sequence.
HUMA 11500,Humanities,Philosophical Perspectives I,100,,,These courses must be taken in sequence. Students registered in this sequence must attend the first and second class sessions or their registration will be dropped.
HUMA 11600,Humanities,Philosophical Perspectives II,100,,,These courses must be taken in sequence.
HUMA 11700,Humanities,Philosophical Perspectives III,100,,,These courses must be taken in sequence.
HUMA 12050,Humanities,"Greece and Rome:  Texts, Traditions, Transformations I",100,,Staff,These courses must be taken in sequence. Students registered in this sequence must attend the first and second class sessions or their registration will be dropped.
HUMA 12150,Humanities,"Greece and Rome:  Texts, Traditions, Transformations II",100,,Staff,These courses must be taken in sequence.
HUMA 12250,Humanities,"Greece and Rome:  Texts, Traditions, Transformations III",100,,Staff,These courses must be taken in sequence.
