,course_title,course_unit,equivalent_courses,instructors,notes
FNDL 28204,Hegel’s Philosophy of Right,100,"PHIL 38203,SCTH 38004,PHIL 28203",R. Pippin,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
FNDL 29901,Independent Study: Junior Paper,100,,,
FNDL 29902,Independent Study: Senior Examination,100,,,
ARTH 10100,Introduction to Art,100,,,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
ARTH 14107,Greek Art and Archaeology,100,CLCV 21807,R. Neer,"For nonmajors, this course meets the general education requirement in the arts."
ARTH 14115,Roman Art I: Republican and Early Imperial Art and Architecture,100,CLCV 24115,P. Crowley,"For nonmajors, this course meets the general education requirement in the arts."
ARTH 14200,From Missionary Images to Image Explosion: Introduction to Medieval Art,100,,A. Kumler,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 14215,Roman Art II: Late Antique and Early Christian Art and Architecture,100,CLCV 24215,P. Crowley,"For nonmajors, this course meets the general education requirement in the arts."
ARTH 14700,Building Renaissance Italy: A Survey of the Built Environment,100,,N. Atkinson,
ARTH 15600,Twentieth-Century Art,100,,M. Jackson; T. Zhurauliova,
ARTH 15680,Art and Language / Word and Image,100,,A. Pop,"For nonmajors, this course meets the general education requirement in the arts."
ARTH 15707,American Art since the Great War,100,AMER 15707,D. English,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 15709,20th Century Western Architecture,100,,A. Thomas,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 16100,Art of the East: China,100,EALC 16100,"Wu, H.","Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 16211,Introduction to African Art,100,,C. Fromont,
ARTH 16413,Maya Art and Architecture,100,LACS 16413,C. Brittenham,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 16460,Modern Latin American Art,100,LACS 16460,M. Sullivan,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
ARTH 16709,"Islamic Art and Architecture, 1100 to 1500",100,"NEAA 10630,NEHC 16709",P. Berlekamp,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 16800,Arts of Japan,100,EALC 16806,C. Foxwell,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
ARTH 16910,Modern Japanese Art and Architecture,100,EALC 16911,C. Foxwell,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 17209,"Art in France, 1598-1661",100,,R. Neer,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 17310,Between the Agora and the Shopping Mall,100,,N. Atkinson,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
ARTH 17311,Art of the Book in the Middle Ages,100,,A. Kumler,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 17610,Modernism,100,,M. Ward,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 17700,19th Century French Art in the Art Institute,100,,M. Ward,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
ARTH 17708,The Plan: Diagramming Modernity in the Twentieth Century,100,,A. Thomas,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 17735,The Art of Post-Revolutionary Mexico,100,LACS 17735,M. Sullivan,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
ARTH 18000,Photography and Film,100,,J. Snyder,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 18202,"Creative Destruction: War, Violence, and Upheaval in 20th-Century Art",100,,T. Zhurauliova,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
ARTH 18305,New Art in Chicago Museums and Other Spaces,100,,D. English,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 20201,Topics in Contemporary Theory and Criticism,100,"ARTH 30201,MAPH 40201,ARTV 20201,ARTV 40201",J. Proctor,
ARTH 20506,"Pompeii: Life, Death, and Afterlife of a Roman City",100,"ARTH 30506,CLCV 20516,CLAS 30516",P. Crowley,
ARTH 20603,Image and Text in Mexican Codices,100,"ARTH 30603,LACS 20603,LACS 30603",C. Brittenham,
ARTH 21205,From the Non-Object to the End of Art: The South American 1960s,100,"ARTH 31205,LACS 21205,LACS 31205",M. Sullivan,
ARTH 23310,Renaissance Geographies: Travel and the Geographic Imagination,100,ARTH 33310,N. Atkinson,
ARTH 23400,"Art, Architecture, and Identity in the Ottoman Empire",100,"ARTH 33400,NEAA 20801,NEAA 30801",P. Berlekamp,
ARTH 24010,"Expanded Arts, 1958-1978",100,"ARTH 34010,MAPH 34010,ARTV 20410,ARTV 30410",J. Proctor,
ARTH 24110,Venetian Painting from Bellini to Titian,100,ARTH 34110,C. Cohen,
ARTH 24350,Art and Colonialism,100,ARTH 34350,C. Fromont,
ARTH 24812,Museums and Art,100,ARTH 34812,M. Ward,
ARTH 27304,Photo/Modernism/Esthetic,100,ARTH 37304,J. Snyder,
ARTH 27615,"Landscape Painting in the United States, 1830-1950",100,AMER 27615,T. Zhurauliova,
ARTH 28500,History of International Cinema I: Silent Era,100,"ARTH 38500,ARTV 26500,ARTV 36500,CMLT 22400,CMLT 32400,CMST 48500,ENGL 29300,ENGL 48700,MAPH 36000,CMST 28500",T. Gunning,This is the first part of a two-quarter course.
ARTH 28600,History of International Cinema II: Sound Era to 1960,100,"ARTH 38600,ARTV 26600,CMLT 22500,CMLT 32500,CMST 48600,ENGL 29600,ENGL 48900,MAPH 33700,CMST 28600",D. Morgan,CMST 28500/48500 strongly recommended
ARTH 29400,Feminine Space in Chinese Art,100,"ARTH 39400,EALC 27708,EALC 37708",Wu Hung,
ARTH 29600,Junior Seminar: Doing Art History,100,,,Required of third-year students who are majoring in art history; open to nonmajors with consent of instructor. This course does not meet the general education requirement in the arts.
ARTH 29700,Reading Course,100,,,"Students are required to submit the College Reading and Research Form. Must be taken for a quality grade. With adviser's approval, students who are majoring in art history may use this course to satisfy requirements for the major, a special field, or electives. This course is also open to nonmajors with advanced standing. This course does not meet the general education requirement in the arts."
ARTH 29800,Senior Seminar: Writing Workshop,100,,,Required of fourth-year students who are majoring in art history. This course does not meet the general education requirement in the arts.
ARTH 29900,Preparation for the Senior Paper,100,,,Students are required to submit the College Reading and Research Form. May be taken for P/F grading with consent of instructor. This course may not count toward the twelve courses required in the major. This course does not meet the general education requirement in the arts.
CMSC 10100,Introduction to Programming for the World Wide Web I,100,,W. Sterner,This course does not meet the general education requirement in the mathematical sciences.
CMSC 10200,Introduction to Programming for the World Wide Web II,100,,,"This course meets the general education requirement in the mathematical sciences. May not be taken for credit by students who have credit for CMSC 12100, 15200, or 16200."
CMSC 11000,Multimedia Programming as an Interdisciplinary Art I,100,,W. Sterner,This course meets the general education requirement in the mathematical sciences.
CMSC 11100,Multimedia Programming as an Interdisciplinary Art II,100,,,This course meets the general education requirement in the mathematical sciences.
CMSC 11710,Networks,100,,J. Simon,Necessary mathematical concepts will be presented in class.
CMSC 12100,Computer Science with Applications I,100,,"A. Rogers, B. Sotomayor",This course meets the general education requirement in the mathematical sciences.
CMSC 12200,Computer Science with Applications II,100,,"A. Rogers, M. Wachs",This course meets the general education requirement in the mathematical sciences.
CMSC 12300,Computer Science with Applications III,100,,M. Wachs,
CMSC 15100,Introduction to Computer Science I,100,,"A. Shaw (Aut), M. Wachs (Aut), J. Reppy (Win)",This course meets the general education requirement in the mathematical sciences. Non-majors may use either course in this sequence to meet the general education requirement in the mathematical sciences; students who are majoring in Computer Science must use either CMSC 15100-15200 or 16100-16200 to meet requirements for the major.
CMSC 15200,Introduction to Computer Science II,100,,"A. Shaw (Winter), M. Wachs (Winter)",This course meets the general education requirement in the mathematical sciences. Non-majors may use either course in this sequence to meet the general education requirement in the mathematical sciences; students who are majoring in Computer Science must use either CMSC 15100-15200 or 16100-16200 to meet requirements for the major.
CMSC 15400,Introduction to Computer Systems,100,,"H. Gunawi, H. Hoffmann, M. Wachs",Required of students who are majoring in Computer Science.
CMSC 16100,Honors Introduction to Computer Science I,100,,"R. Chugh, S. Kurtz",This course meets the general education requirement in the mathematical sciences.
CMSC 16200,Honors Introduction to Computer Science II,100,,F. Chong,Students who have taken CMSC 15100 may take 16200 with consent of instructor. This course meets the general education requirement in the mathematical sciences.
CMSC 22001,Software Construction,100,,S. Lu,
CMSC 22010,Digital Fabrication,100,,R. Stevens,
CMSC 22100,Programming Languages,100,,Shaw,
CMSC 22200,Computer Architecture,100,,M. Wachs,
CMSC 22300,Functional Programming,100,,R. Chugh,
CMSC 22311,Functional Systems in Haskell,100,,S. Kurtz,
CMSC 22600,Compilers for Computer Languages,100,,J. Reppy,This course is offered in alternate years.
CMSC 22630,Advanced Implementation of Computer Languages,100,,J. Reppy,
CMSC 23000,Operating Systems,100,,H. Gunawi,
CMSC 23010,Parallel Computing,100,,H. Hoffmann,
CMSC 23200,Introduction to Computer Security,100,,A. Feldman,
CMSC 23300,Networks and Distributed Systems,100,CMSC 33300,B. Sotomayor,
CMSC 23310,Advanced Distributed Systems,100,CMSC 33310,B. Sotomayor,
CMSC 23400,Mobile Computing,100,,A. Chien,
CMSC 23500,Introduction to Database Systems,100,,A. Elmore,
CMSC 23700,Introduction to Computer Graphics,100,,J. Reppy,This course is offered in alternate years.
CMSC 23710,Scientific Visualization,100,,G. Kindlmann,
CMSC 23800,Game Construction,100,CSPP 53800,J. Reppy,
CMSC 23900,Data Visualization,100,,G. Kindlmann,
CMSC 25020,Computational Linguistics,100,"CMSC 35050,LING 28600,LING 38600",J. Goldsmith,
CMSC 25025,Machine Learning and Large-Scale Data Analysis,100,STAT 37601,J. Lafferty,The prerequisites are under review and may change.
CMSC 25400,Machine Learning,100,STAT 27725,R. Kondor,
CMSC 27100,Discrete Mathematics,100,,"A. Razborov, J. Simon",This is a directed course in mathematical topics and techniques that is a prerequisite for courses such as CMSC 27200 and 27400.
CMSC 27130,Honors Discrete Mathematics,100,,A. Razborov,
CMSC 27200,Theory of Algorithms,100,,"A. Drucker, J. Simon",
CMSC 27230,Honors Theory of Algorithms,100,,A. Drucker,
CMSC 27410,Honors Combinatorics,100,,L. Babai,This course is offered in alternate years.
CMSC 27500,Graph Theory,100,,K. Mulmuley,
CMSC 27610,Digital Biology,100,,L. R. Scott,High school chemistry is helpful.
CMSC 27700,Mathematical Logic I,100,MATH 27700,,
CMSC 27800,Mathematical Logic II,100,MATH 27800,,
CMSC 28000,Introduction to Formal Languages,100,MATH 28000,S. Kurtz,
CMSC 28100,Introduction to Complexity Theory,100,MATH 28100,K. Mulmuley,
CMSC 28501,Topics in Scientific Computing,100,,,
CMSC 29700,Reading and Research in Computer Science,100,,,Open both to students who are majoring in Computer Science and to nonmajors. Students are required to submit the College Reading and Research Course Form.
CMSC 29900,Bachelor's Thesis,100,,,Open to fourth-year students who are candidates for honors in Computer Science
CRWR 10200,Beginning Fiction Workshop,100,CRWR 30200,,Attendance on the first day is mandatory.
CRWR 10205,Fundamentals of Fiction,100,CRWR 30205,,Attendance on the first day is mandatory.
CRWR 10255,Fundamentals of Fiction: CW Track,100,CRWR 30255,,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu.
CRWR 10300,Beginning Poetry Workshop,100,CRWR 30300,,Attendance on the first day is mandatory.
CRWR 10305,Fundamentals of Poetry,100,CRWR 30305,,Attendance on the first day is mandatory.
CRWR 10400,Beginning Creative Nonfiction,100,CRWR 30400,,Attendance on the first day is mandatory.
CRWR 10405,Fundamentals of Nonfiction,100,CRWR 30405,,Attendance on the first day is mandatory.
CRWR 12000,Intermediate Fiction Workshop,100,CRWR 32000,,Attendance on the first day is mandatory.
CRWR 12012,Special Topics in Fiction: World-Building,100,CRWR 32012,,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 12014,Special Topics in Fiction: Not Your Native Language,100,CRWR 42014,Rachel DeWoskin,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 12017,Special Topics in Fiction: The Short Story in Context,100,CRWR 32017,Will Boast,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 12018,Special Topics in Fiction: The Young Adult Novel,100,CRWR 32018,Michelle Falkoff,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 12020,Special Topics in Fiction: Literary Horror,100,CRWR 32020,Brian Booker,
CRWR 12101,Reading as a Writer: Chicago Stories,100,,,This course meets the general education requirement in the arts.
CRWR 12102,Introduction to Genres: Writing and Performance,100,,,This course meets the general education requirement in the arts. Attendance on the first day is mandatory.
CRWR 12103,Reading as a Writer,100,,John Wilkinson,This course meets the general education requirement in the arts. Attendance on the first day is mandatory.
CRWR 12104,Introduction to Genres: Four Western Myths,100,,,This course meets the general education requirement in the arts.
CRWR 12105,Introduction to Genres,100,,,This course meets the general education requirement in the arts.
CRWR 12107,Reading as a Writer: Crime and Story,100,,,This course meets the general education requirement in the arts.
CRWR 12109,Introduction to Genres: Wizards,100,,Peter O'Leary,This course meets the general education requirement in the arts.
CRWR 12115,Intro to Genres: The Surveilled City and the Googled Chicago,100,,Garin Cycholl,This course meets the general education requirement in the arts.
CRWR 12122,Introduction to Genres: Parody,100,,Srikanth Reddy,"Course meets the General Education requirement in the Dramatical, Musical and Visual Arts."
CRWR 12125,Reading as a Writer: From Page to Film,100,,Vu Tran,"Course meets the General Education requirement in the Dramatical, Musical and Visual Arts."
CRWR 13000,Intermediate Poetry Workshop,100,CRWR 33000,,Attendance on the first day is mandatory.
CRWR 13006,Investigations through Rhyme,100,CRWR 33006,,Attendance on the first day is mandatory.
CRWR 13015,Special Topics in Poetry: Poetic Appropriation & Collage,100,CRWR 33015,,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 13016,Special Topics in Poetry: Units of Composition,100,CRWR 33016,Nathan Hoks,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 13017,"Special Topics in Poetry: Image, Perception, Sense",100,CRWR 33017,Nathan Hoks,
CRWR 14000,Intermediate Creative Nonfiction,100,CRWR 34000,,Attendance on the first day is mandatory.
CRWR 14011,Special Topics in Nonfiction: Reading and Writing Memoir,100,CRWR 34011,Dan Raeburn,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 14012,Special Topics in Nonfiction: Knowledge Journalism,100,CRWR 34012,Jeff McMahon,"Instructor consent required. To apply, send a statement describing your field of expertise and your intent for practicing journalism in place of a writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory."
CRWR 14015,Special Topics in Nonfiction: W.G. Sebald & Teju Cole,100,CRWR 34015,David MacLean,
CRWR 21501,Advanced Translation Workshop: Found in Translation,100,,Jennifer Scappettone,
CRWR 22100,Advanced Fiction Workshop,100,CRWR 42100,Will Boast,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 22116,Advanced Fiction Workshop: Not Your Native Language,100,CRWR 42116,Rachel DeWoskin,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 22117,Advanced Fiction Workshop: Beginning a Novel,100,CRWR 42117,Vu Tran,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 22118,Advanced Fiction Workshop: Constructing a Full-Length Novel,100,CRWR 42118,Rachel DeWoskin,
CRWR 23100,Advanced Poetry Workshop,100,CRWR 43100,,Attendance on the first day is mandatory.
CRWR 23112,Advanced Poetry Workshop: Letters to Young Poets,100,CRWR 43112,Srikanth Reddy,
CRWR 24001,Advanced Nonfiction: Aiming for Publication,100,CRWR 44001,Dan Raeburn,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 24002,Advanced Nonfiction Workshop: Writing About the Arts,100,"CRWR 44002,ARTH 34002,ARTH 24002",R. Cohen,
CRWR 24003,Advanced Nonfiction Workshop: The Essay,100,CRWR 44003,Rachel Cohen,Note(s):
CRWR 24100,Advanced Creative Nonfiction Workshop,100,CRWR 44100,,Attendance on the first day is mandatory.
CRWR 25100,Clean Up Your Mess: A Playwriting Workshop Focused on Structure,100,TAPS 28462,,Attendance on the first day is mandatory.
CRWR 26100,Writing the Graphic Novel,100,,,Attendance on the first day is mandatory.
CRWR 26405,Writing Speeches: Reagan and Obama,100,"LLSO 28203,ENGL 11404",L. McEnerney,
CRWR 27002,Adaptation: Text and Image,100,,,
CRWR 27006,Special Topics: Verse Forms Theater & Spoken Word Traditions,100,CRWR 47006,Mickle Maher,
CRWR 27101,Beginning Screenwriting,100,CRWR 47101,J. Petrakis,Attendance on the first day is mandatory.
CRWR 27102,Beginning Screenwriting,100,TAPS 15500,J. Petrakis,
CRWR 27105,Theater and Performance Studies Colloquium,100,,,Required of fourth-year students who are majoring or minoring in TAPS. Creative Writing or MAPH students who are preparing theses for performance may participate with consent from their home department and the Director of Undergraduate Studies. Students participate in both Autumn and Winter Quarters but register once.
CRWR 27200,Portfolio Workshop in Fiction,100,CRWR 47200,Vu Tran; Rachel DeWoskin,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 27300,Portfolio Workshop in Poetry,100,CRWR 47300,,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 28100,Journalism: News Writing in the Digital Age,100,CRWR 48100,,Attendance on the first day is mandatory.
CRWR 28200,Journalism: Arts Reviewing,100,CRWR 48200,,Attendance on the first day is mandatory.
CRWR 29200,Thesis/Major Projects: Fiction,100,CRWR 49200,"Vu Tran, Rachel DeWoskin, Will Boast",Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 29300,Thesis/Major Projects: Poetry,100,CRWR 49300,Srikanth Reddy,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 29400,Thesis/Major Projects: Creative Nonfiction,100,CRWR 49400,Dan Raeburn,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
BIOS 24231,Methods in Computational Neuroscience,100,CPNS 34231,S. Bensmaia,
BIOS 24232,Computational Approaches to Cognitive Neuroscience,100,"CPNS 33200, ORGB 34650, PSYC 34410,CPNS",N. Hatsopoulos,
BIOS 24408,Modeling and Signal Analysis for Neuroscientists,100,CPNS 32111,W. van Drongelen,
BIOS 26210,Mathematical Methods for Biological Sciences I,100,"CPNS 31000,PSYC 36210",D. Kondrashov,
BIOS 26211,Mathematical Methods for Biological Sciences II,100,"CPNS 31100,PSYC 36211",D. Kondrashov,
NSCI 20100,Neuroscience Laboratory,100,,Staff,This course will not be available in the 2016–17 academic year. It will be offered in the 2017–18 academic year and each year thereafter.
NSCI 20110,Fundamental Neuroscience,100,,"C. Ragsdale, P. Mason",
NSCI 20120,Cellular Neuroscience,100,,"R. A. Eatock, W. Wei, Staff",
NSCI 20130,Systems Neurobiology,100,,"D. Freedman, Staff",
NSCI 29100,Neuroscience Thesis Research,100,,Staff,
NSCI 29101,Neuroscience Thesis Research,100,,Staff,
NSCI 29102,Neuroscience Thesis Research,100,,Staff,
NSCI 29200,Neuroscience Honors Thesis Research,100,,Staff,
NSCI 29201,Neuroscience Honors Thesis Research,100,,Staff,
NSCI 29202,Neuroscience Honors Thesis Research,100,,Staff,
CMST 10100,Introduction to Film Analysis,100,"ARTH 20000,ARTV 25300,ENGL 10800",Staff,Required of students majoring in Cinema and Media Studies
CMST 10300,Visual Language: On Time and Space,100,"TAPS 23400,ARTV 10300",,"ARTV 10100, 10200, and 10300 may be taken in sequence or individually. This course meets the general education requirement in the arts. Previous experience in media-based studio courses not accepted as a substitute for this course."
CMST 14400,Film and the Moving Image,100,,Staff,"For nonmajors, any CMST 14400 through 14599 course meets the general education requirement in the arts."
CMST 14503,Cinema in Theory and Practice,100,,D. Bluher,
CMST 14504,Film Comedy,100,,X. Dong,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
CMST 14507,Margins of the Medium: Text/Image,100,,J. Wild,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
CMST 14509,The Uncanny in Cinema,100,,T. Gunning,"For nonmajors, this course meets the general education requirement in the arts."
CMST 21019,African American Cinema 1900 to 1950,100,CMST 31019,A.N. Field,
CMST 21110,Imagining Futures: Speculative Design and Social Justice,100,"ENGL 31110,ARTV 21110,ARTV 31110,CMST 31110,TAPS 28432,TAPS 38432,ENGL 21110",P. Jagoda and T. Soundararajan,
CMST 21805,Chicago Film Cultures,100,CMST 31805,J. Stewart,
CMST 21806,The New Latin American Cinema and Its Afterlife,100,CMST 31806,S. Skvirsky,
CMST 23904,Senior Creative Thesis Workshop,100,"ARTV 23904,ARTV 33904",J. Hoffman,
CMST 23905,Creative Thesis Workshop,100,,J. Hoffman,
CMST 23930,Documentary Production I,100,,J. Hoffman,
CMST 23931,Documentary Production II,100,,J. Hoffman,
CMST 24405,Kieślowski’s French Cinema,100,"REES 31002,CMST 34405,REES 21002",Bożena Shallcross,
CMST 24615,Chinese Musicals,100,EALC 24614,X. Dong,
CMST 24915,Visions of Japanese Cinema and Contemporary Media Culture,100,,T. Tsunoda,
CMST 24921,Japanese Documentary,100,"EALC 30421,CMST 34921,EALC 20421",Marianne Tarcov,
CMST 25503,Issues in Contemporary Horror,100,CMST 35503,J. Lastra,
CMST 25506,Long-Take Cinema,100,CMST 35506,R. Bird,
CMST 26000,The Films of Josef von Sternberg,100,"CMST 46000,FNDL 26001",T. Gunning,
CMST 26302,Ernst Lubitsch: An International Style,100,"CMST 36302,FNDL 26507",X. Dong,
CMST 26803,Claire Denis,100,"FNDL 26803,FREN 26803",D. Bluher,
CMST 26810,Agnes Varda,100,FNDL 26506,D. Bluher,
CMST 27004,"Crowd, Audience, Spectator",100,,J. Wild,
CMST 27220,Classical Film Theory,100,"CMST 37220,FREN 27220,FREN 37220",D.N. Rodowick,
CMST 27600,Introduction to Black and White Film Photography,100,"ARTV 34000,CMST 37600,ARTV 24000","A. Clark, E. Hogeman",Camera and light meter required.
CMST 27804,Fluxus and the Question of Media,100,"ARTH 31314,CMST 37804,ARTH 21314",I. Blom,
CMST 27805,"Framing, Re-framing, and Un-framing Cinema",100,"ARTV 20805,CMST 37805,ARTV 30805","T. Gunning, M. Downie, P. Kaiser",
CMST 27811,"Popular Science and New Media: Methods, Theory, and Practice",100,,M. Kressbach,
CMST 28200,Nonfiction Film: Representations and Performance,100,,J. Hoffman,
CMST 28201,Political Documentary Film,100,"ARTV 28204,ARTV 38204,CMST 38201",J. Hoffman,
CMST 28202,Contemporary Documentary,100,CMST 38202,D. Bluher,
CMST 28301,Opera in the Age of Its Mechanical Reproducibility,100,"GRMN 37717,TAPS 28422,TAPS 38422,CMST 38301,MUSI 24517,MUSI 34517,GRMN 27717",D. Levin,
CMST 28500,History of International Cinema I: Silent Era,100,"ARTH 28500,ARTH 38500,ARTV 26500,ARTV 36500,CMLT 22400,CMLT 32400,CMST 48500,ENGL 29300,ENGL 48700,MAPH 36000",T. Gunning,This is the first part of a two-quarter course.
CMST 28600,History of International Cinema II: Sound Era to 1960,100,"ARTH 28600,ARTH 38600,ARTV 26600,CMLT 22500,CMLT 32500,CMST 48600,ENGL 29600,ENGL 48900,MAPH 33700",D. Morgan,CMST 28500/48500 strongly recommended
CMST 28601,"History of International Film, Part III: 1960 to Present",100,CMST 38601,J. Lastra,
